variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_2,0.03482856052137652,0.01748084999921756,-0.00011516072059234578,0.06977228176334538,0.050736575967327384,242,63,12,ysn,FeIII_30_F,0.3,LB
gn_3,0.055603207048450155,0.022138262944682973,0.011349449985433399,0.09985696411146691,0.014636111508685521,242,63,12,ysn,FeIII_30_F,0.3,LB
gn_0,0.04479533881039684,0.018433462043429688,0.008518589193279413,0.08107208842751426,0.015686581588019152,1084,298,12,ysn,FeIII_30_F,0.5,DEV
gn_1,0.0160248365386277,0.010905191618301897,-0.005436400907261232,0.03748607398451663,0.14276418930315773,1084,298,12,ysn,FeIII_30_F,0.5,DEV
gn_2,0.031076549491096186,0.011310344913125832,0.008817977035741859,0.053335121946450514,0.006369929706959414,1084,298,12,ysn,FeIII_30_F,0.5,DEV
gn_3,0.03464739293697475,0.015292559712419796,0.004551887362100545,0.06474289851184895,0.02419345965132189,1084,298,12,ysn,FeIII_30_F,0.5,DEV
gn_0,0.1112760697843914,0.0323711611973532,0.04656704057758623,0.17598509899119658,0.001054053003428053,242,63,12,ysn,FeIII_30_F,0.5,LB
gn_1,0.03775726488093217,0.01662887907441732,0.004516609250979575,0.07099792051088477,0.026657218566328866,242,63,12,ysn,FeIII_30_F,0.5,LB
gn_2,0.03482856052137652,0.01748084999921756,-0.00011516072059234578,0.06977228176334538,0.050736575967327384,242,63,12,ysn,FeIII_30_F,0.5,LB
gn_3,0.055603207048450155,0.022138262944682973,0.011349449985433399,0.09985696411146691,0.014636111508685521,242,63,12,ysn,FeIII_30_F,0.5,LB
gn_0,0.04479533881039684,0.018433462043429688,0.008518589193279413,0.08107208842751426,0.015686581588019152,1084,298,12,ysn,FeIII_30_F,0.6,DEV
gn_1,0.0160248365386277,0.010905191618301897,-0.005436400907261232,0.03748607398451663,0.14276418930315773,1084,298,12,ysn,FeIII_30_F,0.6,DEV
